"Sex","Age","Married","Education","Informal","Wages","Full_time","Union_member","Social_Group","Urban"
2,45,2,4,1,702,1,2,1,0
1,44,2,14,0,5500,1,2,1,0
1,34,2,14,0,4000,1,1,1,0
1,41,2,8,1,702,1,2,1,0
1,35,2,8,1,702,1,2,1,0
2,42,3,8,1,702,1,2,1,0
1,21,1,14,0,2000,1,1,1,0
2,55,2,4,1,702,1,2,1,0
1,34,2,4,1,702,1,2,1,0
1,42,2,8,1,702,1,2,1,0
2,27,2,2,1,300,1,2,9,0
1,32,2,4,1,300,1,2,9,0
2,48,2,4,1,768,1,2,1,0
1,58,2,14,1,768,1,2,1,0
1,30,2,12,1,360,1,2,1,0
2,36,2,4,1,640,1,2,1,0
1,33,2,12,1,1285,1,2,1,0
1,50,2,4,1,768,1,2,1,0
1,55,2,4,1,2500,1,2,1,0
2,48,2,2,1,768,1,2,1,0
1,54,2,4,1,384,1,2,1,0
1,47,2,4,1,512,1,2,1,0
1,50,2,12,0,4500,1,1,1,0
2,47,2,2,1,702,1,2,1,0
2,49,3,8,0,750,1,2,1,0
2,24,1,8,1,702,1,2,1,0
1,33,2,12,1,875,1,2,1,0
2,31,2,8,1,702,1,2,1,0
1,36,2,8,1,702,1,2,1,0
1,29,1,12,1,702,1,2,1,0
1,44,2,4,1,702,1,2,1,0
1,50,3,4,1,702,1,2,1,0
2,20,1,8,1,400,1,2,1,0
1,48,2,8,0,6230,1,2,1,0
1,45,2,14,0,3750,1,1,1,0
2,38,2,14,0,3750,1,1,1,0
1,41,2,8,1,702,1,2,1,0
1,51,2,8,1,702,1,2,1,0
1,37,2,8,1,702,1,2,1,0
1,52,2,12,0,1400,1,2,1,0
2,39,2,12,1,702,1,2,1,0
1,54,2,8,1,702,1,2,1,0
1,36,2,4,1,702,1,2,1,0
1,42,2,14,0,4500,1,1,1,0
1,31,2,17,0,3750,1,2,1,0
1,35,2,8,1,1200,1,2,1,0
2,32,2,8,1,400,1,2,1,0
1,32,2,8,1,1200,1,2,1,0
2,35,3,17,0,4000,1,2,1,0
1,35,2,17,0,4000,1,1,1,0
1,32,2,4,1,1800,1,2,1,0
2,29,2,4,1,1800,1,2,1,0
